threat_id,domain,title,asset_property,profiles,component,trust_boundary,threat_actor,adversary_capability,collusion_assumption,preconditions,attack_path,context_scope,time_horizon,alongside_information,technical_effect,human_institutional_harm,preventive_detective_corrective_controls,control_owner,verification_method,conformance_requirement,residual_risk,deployment_decision,severity,harm_ids,status
THR-011,privacy,Unbounded nullifier creates permanent identifier,context-dependent unlinkability,extended,wallet/verifier,presentation,ADV-V,retains nullifiers,verifier collusion possible,no epoch or retention bound,reuse nullifier as stable identifier,context and cross-context if misderived,indefinite,nullifier and logs,long-term tracking,surveillance and exclusion,CTL-CTX; CTL-LCM; retention controls,context authority; verifier,epoch and deletion tests,SEC-011,authorized in-context linkability remains,mitigate,critical,HRM-PRV;HRM-AUT,baseline
THR-012,privacy,Issuer identity inferred despite concealment,issuer privacy,profile-specific,credential/proof,issuer-verifier,ADV-V,statistical inference,verifier-verifier collusion,"rare schema, proof or assurance combination",fingerprint issuer,ecosystem,assurance horizon,"schema version, assurance class, proof size",issuer concealment defeated,subject correlation and discrimination,CTL-SCH; CTL-CMP,profile authority; issuer,anonymity-set and combination analysis,SEC-012,small populations remain,mitigate,high,HRM-PRV;HRM-REP,baseline
THR-013,privacy,Attestation metadata correlates presentations,unlinkability,both,credential,issuer-holder-verifier,ADV-V,observes disclosed fields,verifier collusion possible,stable or rare metadata,join records using field combinations,cross-verifier/context,credential lifetime,"timestamps, versions, assurance, status index",presentation linkage,surveillance,CTL-SCH; selective disclosure,issuer; profile authority,field and combination analysis,SEC-013,necessary coarse fields remain,mitigate,critical,HRM-PRV,baseline
THR-014,privacy,Registry or status lookup reveals subject activity,query privacy,both,verifier/registry,verifier-registry,ADV-R,observes lookup timing and key,registry-verifier collusion,subject-specific or rare status query,correlate presentation with registry traffic,cross-verifier,retention period,"lookup key, timing, network metadata",activity correlation,surveillance,privacy-preserving status; CTL-OBS,registry; verifier,traffic analysis and cache tests,SEC-014,availability/privacy trade remains,mitigate,high,HRM-PRV;HRM-SYS,baseline
THR-015,privacy,Issuer-verifier collusion crosses context boundary,context unlinkability,extended,issuer/verifier,issuer-verifier,ADV-IV,shares enrolment and presentation data,explicit collusion,context claim excludes or under-models issuer data,join issuer records with verifier observations,cross-context,assurance horizon,"enrolment records, schema, timing",context boundary defeated,surveillance and power concentration,CTL-CTX; CTL-SCH; minimization,context authority; governance body,collusion-resistance assessment,SEC-015,some issuer knowledge unavoidable,accept only if disclosed or mitigate,critical,HRM-PRV;HRM-SYS,baseline
THR-016,composition,Rare predicate bundle fingerprints subject,data minimization,both,wallet/verifier,presentation,ADV-V,observes requested and satisfied predicates,verifier collusion possible,joint combination is rare,identify or classify subject from bundle,cross-session,assurance horizon,"predicate set, proof shape, policy",re-identification,discrimination or surveillance,CTL-CMP; request minimization,verifier; profile authority,joint leakage testing,SEC-016,business need may require rare claims,mitigate,high,HRM-PRV;HRM-REP,baseline
THR-017,composition,Individually safe proofs leak jointly,compositional privacy,both,wallet/verifier,presentation,ADV-V,combines multiple transcripts,verifier collusion possible,proofs share hidden relation or metadata,correlate bundled or sequential proofs,transaction/session,assurance horizon,proof bundle and credential fields,joint leakage,surveillance,CTL-CMP; single-statement composition where viable,profile authority; wallet,composition review and vectors,SEC-017,advanced composition cost,mitigate,high,HRM-PRV,baseline
THR-018,observable-event,Presentation timing and frequency reveal behaviour,behavioural privacy,both,verifier/network,network/presentation,ADV-N,passive observation,verifier-network collusion possible,events are externally observable,infer activity from proof requests and step-ups,cross-session,retention period,"timing, frequency, retries, verifier identity",behavioural profiling,surveillance and chilling effects,CTL-OBS; batching; retention limits,verifier; protocol operator,traffic and log analysis,SEC-018,event occurrence often unavoidable,accept with bounded claim,medium,HRM-PRV;HRM-AUT,baseline
THR-019,observable-event,Error and retry behaviour becomes oracle,privacy and policy confidentiality,both,verifier,presentation,ADV-U,adaptive queries,none,distinct errors or timing expose state,"probe validity, status or policy",account,session,"error codes, latency, retry count",state inference and enumeration,targeting or denial,CTL-OBS; uniform external errors; bounded retries,verifier,oracle and timing tests,SEC-019,diagnosability tradeoff,mitigate,medium,HRM-PRV;HRM-SYS,baseline
THR-020,governance,Unauthorized issuer accepted,reliance integrity,both,registry/verifier,governance-registry,ADV-R,modify or exploit registry,registry-issuer collusion possible,weak authority or stale recognition,insert or retain issuer,ecosystem,record validity,registry records and caches,unqualified attestation accepted,fraud and legitimacy loss,CTL-GOV; signed versioned records,governance authority; registry,registry conflict and signature tests,SEC-020,governance capture remains,mitigate,critical,HRM-GOV;HRM-IMP,baseline
THR-021,governance,Policy version substitution,semantic integrity,both,issuer/verifier,governance-runtime,ADV-I,selects favourable policy version,issuer-verifier collusion possible,ambiguous effective time or downgrade,present old or weak policy as current,transaction,policy lifetime,"policy IDs, caches, receipts",weaker claim accepted,unfair or unsafe decisions,CTL-GOV; CTL-AGL,governance authority; verifier,version and rollback tests,SEC-021,historical evidence complexity,mitigate,high,HRM-GOV;HRM-ECO,baseline
THR-022,governance,Revoked or suspended state accepted,status integrity,both,issuer/registry/verifier,status-resolution,ADV-R,serve stale or false state,registry-verifier collusion possible,cache or outage policy weak,use stale status to accept presentation,transaction,status freshness window,cache age and network state,revoked credential accepted,fraud or safety harm,CTL-GOV; deterministic unavailable behaviour,verifier; registry,revocation and stale-cache tests,SEC-022,offline window remains,mitigate,critical,HRM-IMP;HRM-ECO,baseline
THR-023,governance,Assurance class inflation,assurance integrity,both,issuer,issuer-governance,ADV-I,mislabels process,accreditor collusion possible,weak audit or vague classes,issue high class for low process,ecosystem,credential lifetime,assurance metadata and audit evidence,verifier over-relies,"exclusion, fraud, legitimacy loss",issuer audit; CTL-GOV; CTL-RED,accreditation authority,assurance evidence review,SEC-023,audit sampling limits,mitigate,high,HRM-GOV;HRM-ECO,baseline
THR-024,governance,Agent key control mistaken for delegated authority,authorization integrity,delegated use,agent/verifier,principal-agent-verifier,ADV-A,controls agent key,agent-verifier collusion possible,delegation evidence absent or weak,perform out-of-scope action,transaction,delegation validity,holder proof and agent metadata,unauthorized action accepted,economic loss and autonomy harm,CTL-GOV; separate delegation object; scope checks,principal; verifier,delegation negative tests,SEC-024,principal coercion or key compromise,mitigate,critical,HRM-AUT;HRM-ECO;HRM-IMP,baseline
THR-025,lifecycle,Algorithm downgrade during negotiation,cryptographic security,both,wallet/verifier,protocol negotiation,ADV-U,modifies negotiation,operator collusion possible,fallback order or deprecation unclear,force obsolete proof system,transaction,migration window,supported profile list and errors,weak algorithm accepted,forgery or privacy loss,CTL-AGL; signed policy and downgrade prevention,profile authority; wallet; verifier,negotiation downgrade tests,SEC-025,legacy interoperability pressure,mitigate,critical,HRM-IMP;HRM-PRV,baseline
THR-026,lifecycle,Enrolment root outlives defensible protection,long-term privacy,extended,issuer/root service,enrolment-root,ADV-R,retains root and related data,operator collusion possible,no cryptoperiod or deletion,retain root through algorithm or governance change,ecosystem,long-term,"roots, backups, logs",future correlation or compromise,surveillance and systemic compromise,CTL-LCM; rotation and deletion evidence,issuer; governance authority,cryptoperiod and backup audit,SEC-026,biometric cannot be reissued cleanly,mitigate or prohibit unbounded use,critical,HRM-PRV;HRM-SYS,baseline
THR-027,lifecycle,Migration splits verification state,availability and consistency,both,issuers/verifiers/registries,multi-party migration,ADV-R,induces inconsistent versions,none,overlap and precedence undefined,present different state to participants,ecosystem,migration window,"profile versions, caches, roots",inconsistent accept/reject outcomes,exclusion and dispute,CTL-LCM; coordinated effective times,profile authority,cross-version migration tests,SEC-027,distributed clock and outage risk,mitigate,high,HRM-EXC;HRM-RED,baseline
THR-028,lifecycle,Recovery resets reuse protections,scoped uniqueness,extended,issuer/wallet,recovery,ADV-U,invokes recovery repeatedly,operator collusion possible,new secret not linked to prior state,gain new nullifier eligibility,context,credential/root lifetime,recovery and prior nullifiers,duplicate action accepted,fraud and unfair allocation,CTL-LCM; recovery continuity and adjudication,issuer; context authority,recovery/epoch tests,SEC-028,legitimate privacy-preserving recovery is hard,mitigate,critical,HRM-ECO;HRM-GOV,baseline
THR-029,mediated-proving,Mediator retains witness-related data,witness and behavioural privacy,mediated,mediator,wallet-mediator,ADV-P,privileged service observation,mediator-verifier collusion possible,remote proving receives sensitive inputs,"retain inputs, traces or mappings",cross-session/context,retention period,"witness fragments, requests, IP/device data",central correlation and breach risk,surveillance and concentration harm,CTL-MED; data minimization; audit,mediator operator; governance authority,retention and isolation audit,SEC-029,service sees some operational metadata,mitigate or prohibit,critical,HRM-PRV;HRM-SYS,baseline
THR-030,operational,Silent fallback lowers assurance or increases disclosure,assurance and autonomy,both,wallet/verifier,fallback,ADV-V,controls available path,provider-verifier collusion possible,preferred mode unavailable,switch to weaker or more revealing path,transaction,session,fallback reason and mode,user and verifier misinterpret result,"exclusion, surveillance or unsafe acceptance",CTL-FBK; explicit consent and receipts,wallet; verifier,fallback positive/negative tests,SEC-030,availability pressure remains,mitigate,high,HRM-AUT;HRM-EXC;HRM-PRV,baseline
THR-031,operational,Offline verification uses stale governance state,status and policy integrity,both,verifier,offline boundary,ADV-V,chooses offline mode,none,cache policy permissive,accept with stale accreditation or status,transaction,offline window,cached registry and policy state,invalid claim accepted,fraud or inconsistent treatment,bounded offline policy; CTL-GOV,verifier; governance authority,offline stale-state tests,SEC-031,connectivity constraints,mitigate,high,HRM-ECO;HRM-GOV,baseline
THR-032,operational,Logs become cross-context correlation store,privacy,both,operators/auditors,operations,ADV-R,privileged log access,operator collusion possible,over-collection or indefinite retention,"join requests, decisions and identifiers",cross-context,retention period,"request digests, errors, IP, timestamps",operational surveillance,persistent tracking and institutional misuse,CTL-OBS; minimization; access controls,all operators,log schema and retention audit,SEC-032,some evidence required for redress,mitigate,critical,HRM-PRV;HRM-SYS,baseline
THR-033,human-experience,Context boundary is unintelligible to affected person,meaningful control,extended,wallet/verifier,human-system,ADV-V,uses opaque terminology,none,context defined only technically,obtain presentation without understandable boundary,cross-context,assurance horizon,user notice and verifier relationships,person cannot anticipate linkage,autonomy and privacy harm,CTL-HUM; user-facing context test,product and governance owners,comprehension and redress exercises,SEC-033,complex ecosystems remain difficult,mitigate,high,HRM-AUT;HRM-PRV,baseline
THR-034,human-experience,Accessibility path creates disproportionate disclosure,equitable access,both,wallet/support operator,assisted operation,ADV-P,observes assisted flow,support-verifier collusion possible,accessible path depends on human mediation,collect extra identity or biometric data,transaction/account,retention period,support records and alternative credentials,privacy loss or exclusion,disproportionate exclusion and surveillance,accessible equivalent path; CTL-FBK; CTL-HUM,service operator,accessibility and disclosure comparison,SEC-034,some assistance may expose presence,mitigate,high,HRM-EXC;HRM-PRV,baseline
THR-035,redress,Decision cannot be contested or corrected,accountability,both,verifier/governance,decision-redress,ADV-V,withholds evidence or authority,none,receipt or ownership unclear,deny review or fail to propagate correction,account/ecosystem,record lifetime,"decision receipt, policy and status versions",wrong result persists,"economic, reputational and legitimacy harm",CTL-RED; ownership model,verifier; redress authority,redress tabletop and correction propagation test,SEC-035,evidence minimization tension,mitigate,critical,HRM-RED;HRM-ECO;HRM-REP,baseline
THR-036,governance,Context silently expands through organizational change,context integrity,extended,governance/verifiers,context-governance,ADV-V,changes affiliation or policy,verifier-governance collusion possible,context change lacks notice and versioning,merge contexts or share historical nullifiers,cross-context,long-term,organizational relationships and context IDs,retroactive linkage,surveillance and autonomy loss,CTL-CTX; versioned change and migration,context authority,change-control and historical-linkage review,SEC-036,legal reorganization complexity,prohibit retroactive expansion,critical,HRM-PRV;HRM-AUT;HRM-GOV,baseline
