test_id,disposition,blocking_class,rationale,decision_authority,required_artifact
CT-UC001-POS-01,EXECUTABLE,,Deterministic construction-neutral semantics available.,Conformance editors,mock-manifest.json
CT-UC001-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC001-POS-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC001-NEG-02,EXECUTABLE,,Deterministic construction-neutral semantics available.,Conformance editors,mock-manifest.json
CT-UC002-POS-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC002-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC002-POS-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC002-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC005-POS-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC005-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC005-POS-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC005-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC009-POS-01,EXECUTABLE,,Deterministic construction-neutral semantics available.,Conformance editors,mock-manifest.json
CT-UC009-NEG-01,EXECUTABLE,,Deterministic construction-neutral semantics available.,Conformance editors,mock-manifest.json
CT-UC009-POS-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC009-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC010-POS-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC010-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC010-POS-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC010-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC012-POS-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC012-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC012-POS-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC012-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC013-POS-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC013-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC013-POS-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC013-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC022-POS-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC022-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC022-POS-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC022-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC023-POS-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC023-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC023-POS-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC023-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC024-POS-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC024-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC024-POS-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC024-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC025-POS-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC025-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC025-POS-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC025-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC026-POS-01,EXECUTABLE,,Deterministic construction-neutral semantics available.,Conformance editors,mock-manifest.json
CT-UC026-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC026-POS-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC026-NEG-02,EXECUTABLE,,Deterministic construction-neutral semantics available.,Conformance editors,mock-manifest.json
CT-UC027-POS-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC027-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC027-POS-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC027-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC030-POS-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC030-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC030-POS-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-UC030-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-SEC-BOUNDARY-POS-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-SEC-BOUNDARY-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-SEC-SCHEMA-POS-01,EXECUTABLE,,Deterministic construction-neutral semantic fixture available.,Conformance editors,semantic-fixture-manifest.json
CT-SEC-SCHEMA-NEG-01,EXECUTABLE,,Deterministic construction-neutral semantic fixture available.,Conformance editors,semantic-fixture-manifest.json
CT-SEC-CTX-POS-01,EXECUTABLE,,Deterministic construction-neutral semantic fixture available.,Conformance editors,semantic-fixture-manifest.json
CT-SEC-CTX-NEG-01,EXECUTABLE,,Deterministic construction-neutral semantic fixture available.,Conformance editors,semantic-fixture-manifest.json
CT-SEC-LIFE-POS-01,EXECUTABLE,,Deterministic construction-neutral semantic fixture available.,Conformance editors,semantic-fixture-manifest.json
CT-SEC-LIFE-NEG-01,EXECUTABLE,,Deterministic construction-neutral semantic fixture available.,Conformance editors,semantic-fixture-manifest.json
CT-SEC-MED-POS-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-SEC-MED-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-SEC-MIG-POS-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-SEC-MIG-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,cryptographic-construction,Requires real independent implementations or construction-specific vectors.,Task Force,profile and interoperable fixtures
CT-INT-LINK-POS-01,EXECUTABLE,,Deterministic relationship-evidence acceptance semantics are construction-neutral.,Conformance editors,interoperability/valid-linkage-evidence.json or mock manifest
CT-INT-LINK-NEG-01,EXECUTABLE,,Implicit co-possession rejection is construction-neutral.,Conformance editors,interoperability/invalid-unproven-did-linkage.json
CT-INT-TASK-POS-01,EXECUTABLE,,Exact task-binding acceptance is construction-neutral.,Conformance editors,interoperability/valid-task-bound-proof.json
CT-INT-TASK-NEG-01,EXECUTABLE,,Task/audience mismatch rejection is construction-neutral.,Conformance editors,interoperability/invalid-task-replay.json
CT-INT-AUTH-POS-01,EXECUTABLE,,Independent proof plus active delegation evaluation is construction-neutral.,Conformance editors,interoperability/valid-agent-with-delegation.json
CT-INT-AUTH-NEG-01,EXECUTABLE,,Ceremony/proof evidence cannot substitute for delegation.,Conformance editors,interoperability/invalid-agent-without-delegation.json
CT-INT-PRIV-POS-01,EXECUTABLE,,Scoped reference acceptance is construction-neutral.,Conformance editors,interoperability/valid-ceremony-step.json
CT-INT-PRIV-NEG-01,EXECUTABLE,,Stable cross-context correlation handle rejection is construction-neutral.,Conformance editors,interoperability/invalid-cross-context-linkage.json
